level0,level1,level2
All Japanese Grammar,,
,"Tense, situation/時点・場面",
,,とき
,,ながら〈同時進行〉
,,あいだ
,,あいだに
,,ところだ
,,おり(に)
,,さい(に)
,,にさいして
,,において
,,にあたって
,,うちに〈時間幅〉
,,さいちゅう(に)
,,つつ〈同時進行〉
,,にあって
,Time Order/時間的前後,
,,まえに
,,あとで
,,て〈順次・前段階〉
,,てから〈動作の順序>
,,てから〈起点〉
,,たばかりだ
,,たらくその後で>
,,「うちに〈事前〉
,,にさきだって
,,たとたん(に)
,,とともに〈同時〉
,,(か)とおもうと
,,かないかのうちに
,,しだい
,,てからでないと
,,てはじめて
,,うえで〈事後〉
,,ていらい
,,てからは
,,がはやいか
,,やいなや
,,なり
,,そばから
,,てからというもの(は)
,"Parallel, repetition/並列・反復",
,,て〈並列・対比〉
,,て〈緩い連結〉
,,たり~たりする〈複数の行為>
,,たり~たりする〈反復〉
,,ては
,,とともに〈いっしょに〉
,,とともに〈付加)
,,つ〜つ
,"Degree, comparision/程度・比較",
,,は~より
,,より~のほう
,,と〜とどちら
,,ほど~ない
,,がいちばん
,,すぎる
,,にくらべて
,,ほど〜はない
,,くらい〜はない
,,にかぎる
,,くらい〈程度〉
,,ほど〈程度〉
,,くらいなら
,,だけの
,,だけまし
,,にもまして
,,に(は)あたらない
,,ないまでも
,Comparision/対比,
,,は~が、~は
,,どころか〈正反対>
,,どころか〈程度の対比〉
,,いっぽう(で)
,,にたいして〈対比
,,にはんして
,,はんめん
,,というより
,,かわりに〈代償》
,,かわりに〈代理〉
,,にかわって
,,にひきかえ
,"Cause, reason 原因・理由",
,,からく原因・理由>
,,て〈理由・原因>
,,なくて<理由>
,,ので
,,し
,,ため(に)<原因>
,,によって〈原因・理由>
,,から<原因>
,,ことだし
,,ものだから
,,もの
,,からこそ
,,につき
,,おかげで
,,せいで
,,ばかりに
,,あまり
,,あまりの~に
,,が〜だけに
,,だけに〈ふさわしく〉
,,だけに〈反予想〉
,,いじょう(は)
,,うえは
,,からには
,,てまえ
,,のことだから
,,ところをみると
,,こととて
,,とあって
,,ゆえ(に)
,,ばこそ
,,ではあるまいし
,"Change, irregularity 変化・不定",
,,くする
,,にする
,,くなる
,,になる
,,たり~たりする〈不定〉
,,ようになる
,,てくる〈変化>
,,ことがある
,Determination 決定,
,,にする
,,ことにする
,,ことになる〈決定>
,,ことになっている
,"Possibility, levels of difficulty 可能・難易",
,,ことができる
,,られる〈可能〉
,,られる〈性能評価>
,,やすい
,,にくい
,,わけにはいかない
,,ようがない
,,かねる
,,がたい
,,うる
,,ようにも~ない
,,にかたくない
,,にたる
,,にたえる
,Objectives 目的,
,,に
,,のに〈用途〉
,,ため(に)〈目的〉
,,うえで〈目的〉
,,ように〈期待〉
,,んがため(に)
,,べく
,Experiences 経験,
,,たことがある<経験>
,,たことがある〈過去の特別なこと〉
,,ている〈経歴・経験>
,"Adversative conjunctions, concession 逆接・譲歩",
,,が〈逆接〉
,,けれど(も)<逆接〉
,,のに〈逆接不満・予想外〉
,,ても
,,ながら〈逆接
,,くせに
,,つつく逆接
,,ものの
,,とはいうものの
,,にもかかわらず
,,にしても〈譲歩〉
,,といっても
,,からといって
,,といえども
,,とはいえ
,,ながらも
,,ところを
,,ものを
,,とおもいきや
,Conditions 条件,
,,たら条件】
,,ば〈条件〉
,,なら
,,と〈条件
,,と~た〈発見》
,,と〈継起〉
,,と~たく偶然)
,,と~た〈きっかけ>
,,ば〜(のに)〈反実仮想〉
,,たら~だろう(に)
,,と〜(のに)〈反実仮想〉
,,さえ~ば
,,としたら
,,とすれば
,,とすると
,,ないことには
,,ものなら
,,をぬきにしては
,,ようものなら
,,ないかぎり
,,となると〈新事態の
,,仮定・確定〉
,,たらさいご
,,なくして(は)
,,とあれば
,Conditions for adversative conjunctions 逆接条件,
,,たとえ~ても
,,としても
,,にしろ
,,にせよ
,,にしてもく逆接仮定>
,,たところで
,,といえども
,,であれ
,,ようが~まいが
,,ようと~まいと
,,ようが
,,ようと(も)
,"Intentional actions, beginning and  end of movement 意図的行為・動作の開始と終了",
,,てみる
,,てしまう〈完了〉
,,ておく
,,ないでおく
,,はじめる
,,つづける
,,おわる
,,だす
,,てみせる
,,ぬく
,,かける
,"Appearance, situations 様子・状態",
,,ている〈変化の結果の残存>
,,ている〈初めからの外見、状態>
,,てある
,,そうだ〈様子>
,,そうだ〈直前〉
,,そうだ〈予想・判断〉
,,は~が~
,,がする
,,をしている
,,げ
,,ようにして
,,だらけ
,,ながら〈そのまま〉
,,とばかり(に)
,,んばかりに
,,ともなく
,,まみれ
,,ずくめ
,Comparisions 比況,
,,みたいだ〈比況〉
,,ようだ〈比況〉
,,らしい〈典型〉
,,かとおもうほど
,,かのように
,,ごとき
,Tendency 傾向,
,,がち
,,っぽい
,,きらいがある
,,めく
,Wishes 願望,
,,がほしい
,,たい
,,がる
,,たらいい希望>
,,といい〈希望》
,,ばいい<希望>
,,てほしい
,,てほしいものだ
,,たいものだ〈願望)
,,ないものか
,Volition 志望 ,
,,「つもりだ〈意志〉
,,よう〈意志〉
,,ようとおもう
,,ようとする
,,ようにする
,,ようとしない
,,つもりだ〈意図と実際の不一致)
